DEST_AIRPORT_SEQ_ID,DEST_CITY_NAME,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_NAME,num_flights
1119302,"Cincinnati, OH",1348702,"Minneapolis, MN",140
1334207,"Milwaukee, WI",1348702,"Minneapolis, MN",161
1295304,"New York, NY",1349505,"New Orleans, LA",116
1247805,"New York, NY",1432105,"Portland, ME",76
1412202,"Pittsburgh, PA",1143302,"Detroit, MI",136
1449202,"Raleigh/Durham, NC",1410005,"Philadelphia, PA",218
1410005,"Philadelphia, PA",1449202,"Raleigh/Durham, NC",219
1295304,"New York, NY",1079206,"Buffalo, NY",105
1143302,"Detroit, MI",1538005,"Traverse City, MI",119
1409803,"Newport News/Williamsburg, VA",1039707,"Atlanta, GA",87
1039707,"Atlanta, GA",1409803,"Newport News/Williamsburg, VA",87
1104205,"Cleveland, OH",1348702,"Minneapolis, MN",104
1098002,"Chattanooga, TN",1039707,"Atlanta, GA",271
1039707,"Atlanta, GA",1098002,"Chattanooga, TN",271
1079206,"Buffalo, NY",1295304,"New York, NY",105
1143302,"Detroit, MI",1069302,"Nashville, TN",193
1295304,"New York, NY",1098002,"Chattanooga, TN",24
1069302,"Nashville, TN",1143302,"Detroit, MI",195
1393102,"Norfolk, VA",1295304,"New York, NY",225
1245102,"Jacksonville, FL",1247805,"New York, NY",180
1449202,"Raleigh/Durham, NC",1348702,"Minneapolis, MN",84
1348702,"Minneapolis, MN",1473003,"Louisville, KY",58
1039707,"Atlanta, GA",1087402,"Akron, OH",87
1348702,"Minneapolis, MN",1161802,"Newark, NJ",224
1295304,"New York, NY",1058102,"Bangor, ME",74
1143302,"Detroit, MI",1452401,"Richmond, VA",57
1473003,"Louisville, KY",1039707,"Atlanta, GA",223
1295304,"New York, NY",1387102,"Omaha, NE",46
1348702,"Minneapolis, MN",1387102,"Omaha, NE",155
1039707,"Atlanta, GA",1473003,"Louisville, KY",223
1143302,"Detroit, MI",1509602,"Syracuse, NY",105
1410005,"Philadelphia, PA",1348702,"Minneapolis, MN",193
1348702,"Minneapolis, MN",1410005,"Philadelphia, PA",194
1143302,"Detroit, MI",1412202,"Pittsburgh, PA",136
1119302,"Cincinnati, OH",1129806,"Dallas/Fort Worth, TX",157
1072102,"Boston, MA",1449202,"Raleigh/Durham, NC",241
1078105,"Baton Rouge, LA",1039707,"Atlanta, GA",175
1562404,"Valparaiso, FL",1039707,"Atlanta, GA",149
1348702,"Minneapolis, MN",1468305,"San Antonio, TX",56
1039707,"Atlanta, GA",1562404,"Valparaiso, FL",149
1247805,"New York, NY",1099402,"Charleston, SC",123
1349505,"New Orleans, LA",1295304,"New York, NY",116
1039707,"Atlanta, GA",1232305,"Wilmington, NC",137
1387102,"Omaha, NE",1348702,"Minneapolis, MN",158
1079206,"Buffalo, NY",1247805,"New York, NY",284
1105703,"Charlotte, NC",1295304,"New York, NY",494
1348702,"Minneapolis, MN",1343302,"Minot, ND",120
1343302,"Minot, ND",1348702,"Minneapolis, MN",120
1348702,"Minneapolis, MN",1040805,"Appleton, WI",105
1348702,"Minneapolis, MN",1106606,"Columbus, OH",87
1348702,"Minneapolis, MN",1119302,"Cincinnati, OH",140
1143302,"Detroit, MI",1119302,"Cincinnati, OH",121
1143302,"Detroit, MI",1142307,"Des Moines, IA",99
1142307,"Des Moines, IA",1143302,"Detroit, MI",99
1348502,"Madison, WI",1143302,"Detroit, MI",109
1295304,"New York, NY",1348502,"Madison, WI",64
1348702,"Minneapolis, MN",1348502,"Madison, WI",139
1348502,"Madison, WI",1348702,"Minneapolis, MN",139
1086803,"Columbia, SC",1039707,"Atlanta, GA",245
1143302,"Detroit, MI",1541205,"Knoxville, TN",109
1295304,"New York, NY",1105703,"Charlotte, NC",494
1153705,"Elmira/Corning, NY",1143302,"Detroit, MI",10
1143302,"Detroit, MI",1153705,"Elmira/Corning, NY",10
1541205,"Knoxville, TN",1039707,"Atlanta, GA",255
1039707,"Atlanta, GA",1379502,"Jacksonville/Camp Lejeune, NC",88
1039707,"Atlanta, GA",1541205,"Knoxville, TN",255
1247805,"New York, NY",1072102,"Boston, MA",522
1119302,"Cincinnati, OH",1082106,"Baltimore, MD",163
1082106,"Baltimore, MD",1119302,"Cincinnati, OH",163
1294503,"Lexington, KY",1143302,"Detroit, MI",102
1143302,"Detroit, MI",1294503,"Lexington, KY",100
1199502,"Greensboro/High Point, NC",1295304,"New York, NY",181
1295304,"New York, NY",1393102,"Norfolk, VA",225
1119302,"Cincinnati, OH",1410005,"Philadelphia, PA",184
1039707,"Atlanta, GA",1013505,"Allentown/Bethlehem/Easton, PA",67
1142307,"Des Moines, IA",1039707,"Atlanta, GA",85
1449202,"Raleigh/Durham, NC",1119302,"Cincinnati, OH",49
1247805,"New York, NY",1393102,"Norfolk, VA",136
1119302,"Cincinnati, OH",1449202,"Raleigh/Durham, NC",49
1161802,"Newark, NJ",1143302,"Detroit, MI",244
1294503,"Lexington, KY",1039707,"Atlanta, GA",193
1039707,"Atlanta, GA",1294503,"Lexington, KY",192
1247805,"New York, NY",1119302,"Cincinnati, OH",62
1410005,"Philadelphia, PA",1119302,"Cincinnati, OH",184
1078502,"Burlington, VT",1039707,"Atlanta, GA",31
1379502,"Jacksonville/Camp Lejeune, NC",1039707,"Atlanta, GA",88
